ZC000073        ,THE PENINSULAR AND ORIENTAL STEAM NAVIGATION COMPANY                                                                    ,           733500000,           151800000,       6152,7484  ,16 PALACE STREET                                                                                    ,LONDON                                                                                              ,NULL                                                                                                ,NULL                                                                                                ,NULL                                                                                                ,LONDON              ,NULL                ,SW1E 5JQ
ZC000020        ,CHESTER WATERWORKS COMPANY                                                                                              ,             6261187,                NULL,         63,0     ,PACKSADDLE                                                                                          ,WREXHAM ROAD RHOSTYLLEN                                                                             ,WREXHAM                                                                                             ,CLWYD                                                                                               ,NULL                                                                                                ,WREXHAM             ,CLWYD               ,LL14 4EH
ZC000018        ,STANDARD CHARTERED BANK                                                                                                 ,             4594000,                NULL,      88257,6511  ,1 BASINGHALL AVENUE                                                                                 ,LONDON                                                                                              ,NULL                                                                                                ,NULL                                                                                                ,NULL                                                                                                ,LONDON              ,NULL                ,EC2V 5DD
SP2449RS        ,PENTLAND HOUSING ASSOCIATION LIMITED                                                                                    ,             2136908,                NULL,         18,0     ,37-39 Traill Street                                                                                 ,Thurso                                                                                              ,Caithness                                                                                           ,NULL                                                                                                ,NULL                                                                                                ,THURSO              ,CAITHNESS           ,KW14 8EG
SP2427RS        ,NORTHVIEW  HOUSING ASSOCIATION LIMITED                                                                                  ,             3647136,                NULL,         19,0     ,29A STRAVANAN ROAD                                                                                  ,CASTLEMILK                                                                                          ,GLASGOW                                                                                             ,NULL                                                                                                ,NULL                                                                                                ,GLASGOW             ,LANARKSHIRE         ,G45 9LY 
SP2423RS        ,SCOTTISH SHELLFISH MARKETING GROUP LIMITED                                                                              ,             9301889,             2474827,         72,0     ,UNIT 8, BLOCK 22                                                                                    ,MOTHERWELL FOOD PARK                                                                                ,BELLSHILL                                                                                           ,LANARKSHIRE                                                                                         ,NULL                                                                                                ,BELLSHILL           ,LANARKSHIRE         ,NULL    
SP2375RS        ,PINEVIEW HOUSING ASSOCIATION LIMITED                                                                                    ,             2176211,                NULL,         14,0     ,5 JEDWORTH AVENUE                                                                                   ,DRUMCHAPEL                                                                                          ,GLASGOW                                                                                             ,NULL                                                                                                ,NULL                                                                                                ,GLASGOW             ,LANARKSHIRE         ,G15 7QB 
SP2312RS        ,HIGHLAND BUSINESS SERVICES LIMITED                                                                                      ,             3827216,               88190,       NULL,0     ,GLAIKMORE                                                                                           ,NORTH KESSOCK                                                                                       ,INVERNESS                                                                                           ,NULL                                                                                                ,NULL                                                                                                ,INVERNESS           ,INVERNESSSHIRE      ,IV1 3UD 
SP2309RS        ,NEW GORBALS HOUSING ASSOCIATION LIMITED                                                                                 ,             3772614,                NULL,         33,0     ,187                                                                                                 ,CROWN STREET                                                                                        ,GLASGOW                                                                                             ,NULL                                                                                                ,NULL                                                                                                ,GLASGOW             ,LANARKSHIRE         ,G5 9XT  
SP2290RS        ,PROSPECT COMMUNITY HOUSING LIMITED                                                                                      ,             3736070,                NULL,         35,0     ,6 WESTBURN AVENUE                                                                                   ,EDINBURGH                                                                                           ,NULL                                                                                                ,NULL                                                                                                ,NULL                                                                                                ,EDINBURGH           ,MIDLOTHIAN          ,NULL    
SP2190RS        ,CASSILTOUN HOUSING ASSOCIATION LIMITED                                                                                  ,             3211851,                NULL,         18,0     ,70 MACHRIE ROAD                                                                                     ,GLASGOW                                                                                             ,NULL                                                                                                ,NULL                                                                                                ,NULL                                                                                                ,GLASGOW             ,LANARKSHIRE         ,G45 0AS 
SP2059RS        ,SCOTTISH MIDLAND CO-OPERATIVE SOCIETY LIMITED                                                                           ,           381115000,           102962000,       4811,0     ,HILLWOOD HOUSE                                                                                      ,2 HARVEST DRIVE                                                                                     ,NEWBRIDGE                                                                                           ,EDINBURGH                                                                                           ,NULL                                                                                                ,EDINBURGH           ,MIDLOTHIAN          ,EH28 8QJ
SP1983RS        ,HANOVER (SCOTLAND) HOUSING ASSOCIATION LIMITED                                                                          ,            24543000,                NULL,        498,0     ,95 MCDONALD ROAD                                                                                    ,EDINBURGH                                                                                           ,NULL                                                                                                ,NULL                                                                                                ,NULL                                                                                                ,EDINBURGH           ,MIDLOTHIAN          ,EH7 4NS 
SP1979RS        ,SCOTTISH BORDERS PRODUCE LIMITED                                                                                        ,             2245681,              866098,       NULL,0     ,THE INDUSTRIAL ESTATE                                                                               ,EYEMOUTH                                                                                            ,BERWICKSHIRE                                                                                        ,NULL                                                                                                ,NULL                                                                                                ,EYEMOUTH            ,BERWICKSHIRE        ,TD14 5AN
SP1935RS        ,HOME IN SCOTLAND LIMITED                                                                                                ,             4723000,              707000,         63,0     ,UNIT 3 Q COURT                                                                                      ,QUALITY STREET                                                                                      ,DAVIDSONS MAINS                                                                                     ,EDINBURGH                                                                                           ,NULL                                                                                                ,EDINBURGH           ,MIDLOTHIAN          ,EH4 5BP 
SP1924RS        ,GOWRIE HOUSING ASSOCIATION LIMITED                                                                                      ,             2114870,                NULL,       NULL,0     ,21 SOUTH TAY STREET                                                                                 ,DUNDEE                                                                                              ,NULL                                                                                                ,NULL                                                                                                ,NULL                                                                                                ,DUNDEE              ,ANGUS               ,DD1 1NR 
SP1920RS        ,LORETTO HOUSING ASSOCIATION LIMITED                                                                                     ,             5737368,                NULL,         73,0     ,LIPTON HOUSE  2ND FLOOR                                                                             ,170 CROWN STREET                                                                                    ,GLASGOW                                                                                             ,NULL                                                                                                ,NULL                                                                                                ,GLASGOW             ,LANARKSHIRE         ,G5 9XD  
